CUST_ID,AGE_GB,EST_INCOME,CB_SCORE,TOTAL_SPENDING,SPENDING_COUNT,INST_CNT,OVERDUE_CNT,PAY_VISIT_CNT,TEL_GRADE,s_trust,s_activity,s_potential,tps_score
SYN_60,30대,33803026,636,16686039,91,1,0,15,1,95.0,71.479,37.784,70.7789
SYN_70,30대,56685432,706,23013091,93,2,0,19,5,90.0,87.811,84.32,87.63929999999999
SYN_75,30대,41727440,758,21931674,61,4,0,17,5,80.0,69.296,74.336,75.0896
SYN_78,20대,37690168,657,18425299,73,0,0,0,2,100.0,43.525999999999996,45.626000000000005,66.7456
SYN_83,20대,46798703,780,20873594,49,4,0,17,2,80.0,62.524,64.04400000000001,69.9704
SYN_88,30대,51490378,701,13403827,22,1,0,7,2,95.0,23.744999999999997,62.102000000000004,63.7541
SYN_90,30대,46372544,726,24780543,99,3,0,9,5,85.0,78.497,76.178,80.40249999999999
SYN_91,20대,38869321,701,22325070,89,5,0,1,1,75.0,57.959,43.102000000000004,60.318299999999994
SYN_92,30대,61171691,898,15585693,98,8,0,8,4,60.0,62.317,93.044,70.6083
SYN_94,20대,51055003,748,20181861,83,9,1,3,2,25.0,55.278,66.078,46.4068
SYN_95,50대,45942174,665,13945999,38,5,0,10,5,75.0,36.5,40.944,53.233200000000004
SYN_97,20대,54328671,815,27262633,72,9,0,9,2,55.0,69.525,75.078,65.3809
SYN_102,20대,54571809,652,26666615,93,1,0,13,3,95.0,84.157,67.506,83.4989
SYN_113,20대,59225474,766,15182690,35,7,0,6,4,65.0,30.755000000000003,84.842,60.679100000000005
SYN_114,20대,36566423,600,20141184,68,4,0,18,1,80.0,71.155,37.166,64.49629999999999
SYN_116,20대,50269424,643,13692849,58,8,0,5,2,60.0,37.223,57.31,52.359899999999996
SYN_121,30대,50165840,765,26031235,62,9,0,15,3,55.0,72.797,72.71000000000001,65.6521
SYN_122,30대,52945479,809,20267113,97,8,0,18,3,60.0,84.151,79.512,73.0989
SYN_123,20대,39688645,763,13149202,40,3,0,18,4,85.0,47.812999999999995,67.248,68.5183
SYN_136,30대,46148071,740,12150588,21,0,0,12,5,100.0,29.003999999999998,77.25,71.8762
SYN_137,50대,42185882,725,11265558,67,8,0,11,5,60.0,46.49,41.513999999999996,50.4012
SYN_140,20대,45690294,631,21234848,45,8,0,14,2,60.0,56.989000000000004,51.186,56.4525
SYN_141,30대,49955402,692,20989868,19,7,0,7,2,65.0,33.937,59.712,54.0947
SYN_144,20대,35277568,713,8778264,15,4,0,3,5,80.0,8.138,67.026,54.5492
SYN_145,20대,51589825,834,12643590,16,4,0,19,1,80.0,37.569,67.922,63.6473
SYN_150,30대,54459307,777,12467054,40,9,0,7,1,55.0,30.334999999999994,65.876,50.863299999999995
SYN_153,20대,39466605,608,19634909,81,5,0,15,3,75.0,71.62700000000001,50.796,66.7269
SYN_157,50대,52395318,775,25398778,12,0,1,15,4,70.0,49.437,51.998000000000005,58.4305
SYN_165,20대,47705827,719,10656164,56,8,0,1,1,60.0,25.561,53.366,47.6781
SYN_168,30대,46458301,695,19703338,94,4,0,16,2,80.0,78.946,55.598,72.36319999999999
SYN_170,30대,48543425,798,11352873,10,6,0,4,1,70.0,10.294,62.0,49.688199999999995
SYN_178,20대,45517095,832,25557771,54,7,2,4,4,5.0,52.106,78.586,41.2076
SYN_184,30대,45592349,824,25661515,63,4,0,11,2,80.0,67.032,66.224,71.9768
SYN_185,30대,47646762,682,22836768,59,2,0,6,4,90.0,53.300999999999995,68.22200000000001,72.4569
SYN_186,30대,46347291,725,26439997,88,5,0,4,5,75.0,68.044,76.038,73.22460000000001
SYN_189,40대,48107438,776,25236258,16,6,0,3,4,70.0,32.838,47.368,52.0618
SYN_190,20대,49280549,828,26188444,72,3,0,16,4,85.0,78.744,83.02799999999999,82.5316
SYN_199,30대,44024055,711,18837150,24,8,0,5,4,60.0,30.099,66.184,52.8849
SYN_200,20대,51984558,735,16761052,98,3,0,13,2,85.0,71.851,65.71600000000001,75.2701
SYN_202,20대,41373779,661,11879224,76,9,0,8,4,55.0,46.632999999999996,59.928,53.9683
SYN_205,20대,35994676,654,11909918,39,1,0,3,4,95.0,22.796,56.96,61.9268
SYN_206,50대,54468258,815,24586872,87,8,0,10,3,60.0,74.44,51.166,61.681799999999996
SYN_210,30대,51875616,858,13957788,77,3,1,19,2,55.0,66.83500000000001,75.362,64.6591
SYN_212,20대,47356979,744,14370763,45,3,0,15,4,85.0,47.791,73.154,70.2835
SYN_215,20대,59537891,830,23054520,76,9,0,15,1,55.0,74.48499999999999,72.298,66.0349
SYN_221,20대,48797197,778,14308316,14,0,1,15,4,70.0,33.427,78.386,61.5439
SYN_222,20대,46345918,698,20181676,34,1,0,5,1,95.0,36.613,49.653999999999996,63.8801
SYN_223,20대,43005382,778,24481691,20,2,0,14,5,90.0,50.375,77.53,74.3715
SYN_226,20대,52551652,873,26235663,81,6,0,2,5,70.0,61.637,94.524,74.8483
SYN_229,20대,50397630,747,23514054,99,8,0,8,2,60.0,74.825,65.28999999999999,66.03450000000001
SYN_230,30대,45973131,875,19910438,75,4,0,0,2,80.0,46.694,68.95400000000001,66.6944
SYN_231,50대,41004225,600,16204015,37,3,0,10,5,85.0,39.506,33.37,55.86279999999999
SYN_232,30대,51253955,815,14075645,69,1,0,5,2,95.0,42.644999999999996,72.406,72.5153
SYN_233,40대,48006437,756,26782031,19,6,0,4,1,70.0,37.606,27.314,47.476000000000006
SYN_234,20대,51485794,726,15415588,59,5,0,17,1,75.0,58.397999999999996,58.318,65.0148
SYN_235,30대,49522192,757,11713164,48,6,0,11,3,70.0,39.102,71.162,61.0792
SYN_236,20대,47390359,600,23695467,46,7,0,6,2,65.0,49.038999999999994,52.214,56.375899999999994
SYN_238,40대,41632052,732,11250904,72,8,0,1,2,60.0,33.272999999999996,23.714,41.09609999999999
SYN_239,40대,49579622,778,17291309,70,9,0,6,3,55.0,49.708999999999996,43.298,49.902100000000004
SYN_240,30대,53822333,868,11373410,94,4,0,8,4,80.0,53.827,89.402,74.9687
SYN_241,40대,40053727,708,10206778,47,4,0,19,1,80.0,48.131,14.462,50.7779
SYN_243,30대,49031475,685,13203266,42,3,0,7,4,85.0,32.400999999999996,70.128,64.75869999999999
SYN_246,20대,57073366,709,12656820,84,2,0,8,3,90.0,51.593,72.834,73.3281
SYN_247,30대,51064969,823,23625860,54,6,0,9,2,70.0,56.93899999999999,72.776,66.9145
SYN_248,30대,51325105,776,27448826,53,4,0,11,4,80.0,64.44,81.112,75.66559999999998
SYN_249,20대,45772592,707,15989563,10,6,0,1,2,70.0,13.237,55.85,48.7261
SYN_250,30대,45982076,791,25282352,62,1,2,9,3,35.0,63.016999999999996,70.136,53.945899999999995
SYN_251,30대,38746198,757,11055787,56,8,0,2,5,60.0,27.552999999999997,72.30199999999999,53.9565
SYN_253,20대,47821132,827,15788441,42,8,0,0,2,60.0,25.9,69.256,52.5468
SYN_255,30대,37690208,693,9810565,76,8,0,16,4,60.0,55.797999999999995,59.964,58.7286
SYN_257,30대,54670510,723,24504617,99,4,0,0,4,80.0,64.25,78.678,74.8784
SYN_259,20대,45324451,718,16677033,24,9,1,4,3,25.0,25.248000000000005,62.268,36.2548
SYN_261,30대,39870403,632,17754822,23,8,0,13,4,60.0,40.265,57.698,53.38889999999999
SYN_267,50대,53095769,773,26795839,32,0,0,5,1,100.0,45.221000000000004,34.38,63.8803
SYN_269,40대,42891244,770,17940601,63,1,0,8,2,95.0,50.751,28.612000000000002,61.808899999999994
SYN_279,30대,43665679,750,19695498,17,9,0,13,1,55.0,40.303000000000004,51.428,49.5193
SYN_281,20대,46890361,731,26919762,63,4,0,3,3,80.0,56.123999999999995,65.346,68.441
SYN_283,20대,46943844,636,15004460,45,4,0,0,1,80.0,26.014000000000003,46.848,53.8586
SYN_286,20대,48308425,716,16601942,93,5,0,5,1,75.0,56.99499999999999,53.822,63.2451
SYN_291,20대,47341625,722,23059222,61,7,0,6,2,65.0,54.556999999999995,59.02,60.0731
SYN_299,50대,44640588,685,19843732,15,0,0,5,2,100.0,27.401,22.736000000000004,55.0411
SYN_304,50대,48851179,737,13258852,37,9,0,0,5,55.0,19.496,50.37,42.9598
SYN_306,40대,50108264,782,17560888,59,8,0,7,1,60.0,46.839,32.322,47.7483
SYN_308,20대,49850138,900,19298743,47,3,0,11,2,85.0,50.606,74.338,71.4832
SYN_313,20대,48380396,763,17792177,39,7,0,10,1,65.0,42.962,58.304,56.379799999999996
SYN_315,30대,43131556,770,11702019,90,4,0,1,1,80.0,41.992999999999995,52.856,60.454699999999995
SYN_317,30대,47605412,744,27124232,82,0,0,1,3,100.0,61.583,67.566,78.7447
SYN_328,30대,37596760,600,18983638,63,8,0,1,3,60.0,41.667,49.518,51.355500000000006
SYN_329,30대,60046908,747,23570953,80,7,0,7,1,65.0,64.95100000000001,65.178,65.0387
SYN_338,30대,47500528,754,22421408,55,4,0,6,3,80.0,50.928999999999995,68.392,67.7963
SYN_344,30대,50328802,947,28129425,37,3,0,15,2,85.0,63.592999999999996,75.428,75.7063
SYN_346,30대,46029098,734,11713008,26,7,0,8,1,65.0,24.463,52.566,49.1087
SYN_350,30대,51296793,774,15396692,57,8,0,15,3,60.0,54.595,74.872,62.84010000000001
SYN_351,20대,55716819,747,23238398,53,6,0,1,2,70.0,43.623000000000005,69.75399999999999,62.013099999999994
SYN_354,30대,39852738,656,20707647,69,3,0,2,1,85.0,48.309,40.66,60.6907
SYN_355,20대,44137860,841,9467657,69,6,0,1,1,70.0,29.883000000000003,59.482,54.8095
SYN_356,20대,54584185,810,32401568,14,5,0,18,3,75.0,59.382999999999996,80.924,72.09209999999999
SYN_358,20대,43747006,813,16709721,78,2,0,16,2,90.0,67.238,63.344,75.1746
SYN_361,20대,41669222,677,14321397,87,9,1,19,1,25.0,71.857,43.188,44.5135
SYN_365,50대,51811897,862,16429022,79,2,0,11,1,90.0,59.858,39.458,65.7948
SYN_368,30대,41501832,637,11194815,16,0,0,10,5,100.0,21.972,64.964,66.0808
SYN_369,50대,53245822,796,27508365,62,4,0,19,1,80.0,80.14099999999999,36.762,67.0709
SYN_371,20대,52831828,925,30756876,26,7,0,18,5,65.0,64.645,95.696,74.1023
SYN_376,20대,42131353,670,15397235,68,5,0,5,5,75.0,44.209,67.104,63.3939
SYN_379,30대,45128648,704,26218312,18,7,0,9,2,65.0,44.309,54.794,55.73089999999999
SYN_385,20대,48597989,757,25733560,31,6,0,13,4,70.0,55.765,76.086,67.5553
SYN_387,30대,45939135,709,18027456,54,1,0,0,5,95.0,34.754,74.218,70.6916
SYN_389,30대,43430028,625,20395195,82,7,0,14,2,65.0,71.981,48.388000000000005,62.110699999999994
SYN_399,40대,51969197,755,19436150,68,3,0,5,3,85.0,50.485,43.644000000000005,62.2387
SYN_408,30대,45213170,665,19147296,89,4,0,12,5,80.0,70.106,70.068,74.0522
SYN_412,30대,51617927,787,11522078,22,7,0,13,4,65.0,29.979000000000003,82.378,59.707100000000004
SYN_413,20대,35888884,676,17173024,92,4,0,12,3,80.0,68.376,52.214,68.17699999999999
SYN_418,30대,53901138,873,11919150,21,4,0,15,5,80.0,32.876999999999995,95.648,70.55749999999999
SYN_423,30대,46747537,687,24628190,45,5,0,0,5,75.0,40.81,73.404,64.2642
SYN_424,20대,49844705,724,26416635,19,6,0,13,4,70.0,50.959,74.3,65.5777
SYN_426,20대,47288246,815,13942036,25,8,0,12,1,60.0,33.754,61.63,52.6152
SYN_427,30대,39254803,651,12933088,28,6,0,9,4,70.0,29.153,58.046,54.1597
SYN_434,50대,45529496,768,17871426,15,5,0,9,2,75.0,30.563000000000002,31.332,48.5685
SYN_438,20대,55382069,854,24294184,13,9,0,3,2,55.0,30.130000000000003,77.988,54.4354
SYN_439,30대,46219405,621,14556407,39,3,0,13,4,85.0,42.35300000000001,63.408,65.7283
SYN_443,30대,46162699,764,20172848,55,9,0,11,4,55.0,55.396,73.53,60.677800000000005
SYN_444,30대,53039811,770,16925790,36,1,0,5,4,95.0,32.339,82.05199999999999,72.3173
SYN_446,50대,51217399,812,11380315,54,8,0,14,4,60.0,45.431,54.192,53.8869
SYN_450,30대,41928571,651,8428104,94,9,0,4,4,55.0,44.74,59.95,53.407
SYN_451,40대,41143078,644,9893281,46,4,1,9,5,50.0,32.68900000000001,35.002,40.3073
SYN_453,30대,53283056,791,27542026,18,4,0,8,3,80.0,43.979,78.364,68.7029
SYN_455,20대,50277889,773,29391072,70,2,0,9,2,90.0,70.265,67.7,77.3895
SYN_456,30대,59879127,770,22202370,44,2,1,11,2,60.0,53.422,73.396,62.0454
SYN_457,50대,44588876,777,18061775,56,0,0,3,3,100.0,40.257999999999996,37.096000000000004,63.206199999999995
SYN_465,40대,47340508,695,12248848,30,4,0,3,4,80.0,19.52,38.67,49.457
SYN_469,20대,45753994,768,19235552,26,2,0,12,3,90.0,42.454,67.612,69.01979999999999
SYN_471,20대,44303565,773,11424204,64,1,0,13,4,95.0,48.599000000000004,72.356,74.2865
SYN_472,30대,44545664,692,19799912,97,8,0,11,2,60.0,73.18599999999999,53.088,61.8822
SYN_473,30대,55636762,899,31896748,15,9,0,12,1,55.0,50.959999999999994,73.426,59.315799999999996
SYN_477,20대,63940867,787,17793427,44,5,0,19,2,75.0,58.465,75.426,70.16730000000001
SYN_479,20대,41779270,654,21133019,59,2,0,12,2,90.0,60.054,47.916,68.39099999999999
SYN_481,30대,44449106,802,9307685,46,6,2,1,1,10.0,19.879,57.252,27.1393
SYN_488,30대,44965053,672,15746711,22,8,0,18,3,60.0,43.875,58.260000000000005,54.6405
SYN_493,40대,40226799,812,9827382,34,8,0,8,5,60.0,25.296999999999997,48.228,46.0575
SYN_496,50대,51640216,842,17608806,10,0,0,9,4,100.0,28.021,56.412000000000006,65.32990000000001
SYN_499,20대,44280126,684,11929719,58,1,0,16,4,95.0,51.019999999999996,64.238,72.5774
SYN_502,40대,55323001,827,19325541,44,7,0,9,2,65.0,46.099000000000004,46.528000000000006,53.7881
SYN_503,30대,54018111,783,19825139,92,0,0,19,1,100.0,82.62299999999999,66.114,84.6211
SYN_504,50대,48232151,815,15445692,62,2,0,12,2,90.0,52.501999999999995,38.866,63.410399999999996
SYN_505,20대,54296929,901,25120407,61,6,0,19,2,70.0,77.069,78.61,74.7037
SYN_506,20대,42669395,730,24216623,63,7,0,0,3,65.0,48.11999999999999,60.376000000000005,58.54879999999999
SYN_510,30대,38809687,689,13980729,85,4,0,1,4,80.0,43.441,60.162,63.0809
SYN_511,50대,45449473,678,12586652,56,1,0,16,5,95.0,51.346,41.194,65.762
SYN_513,40대,37832072,684,11663215,52,2,0,12,1,90.0,42.158,11.370000000000001,52.0584
SYN_514,30대,45076865,743,24413644,29,8,1,16,5,30.0,57.518,76.294,52.14359999999999
SYN_517,20대,43874130,777,18806904,42,9,0,12,1,55.0,48.885999999999996,54.324,52.962999999999994
SYN_520,30대,51348415,772,19615321,25,6,0,16,4,70.0,48.316,80.718,66.7102
SYN_528,40대,59807150,816,15541168,87,0,0,18,3,100.0,72.229,53.428000000000004,77.6971
SYN_531,30대,41042060,751,15591506,16,2,0,13,5,90.0,33.459,73.12,67.97370000000001
SYN_533,30대,44034907,866,13712329,79,8,0,19,1,60.0,67.271,60.444,62.314499999999995
SYN_535,20대,45775565,728,26424643,30,6,0,9,2,70.0,50.15899999999999,57.676,60.3505
SYN_536,30대,57578488,950,31877065,45,1,0,1,4,95.0,47.959,92.838,80.23910000000001
SYN_538,30대,51093296,800,11933402,95,5,0,13,3,75.0,62.93899999999999,77.126,72.0195
SYN_542,50대,41818397,681,17005927,63,8,0,16,2,60.0,61.343999999999994,19.558,48.2706
SYN_544,30대,42196803,664,12238057,28,3,0,4,3,85.0,20.288,54.822,56.533
SYN_546,30대,51237552,788,18666395,34,9,0,17,1,55.0,52.251999999999995,64.138,56.917
SYN_548,50대,51802154,732,28529476,76,1,0,2,2,95.0,61.422999999999995,35.214,66.99109999999999
SYN_549,20대,40574756,807,16676460,62,2,0,15,3,90.0,58.781,66.102,73.4649
SYN_555,20대,47505302,787,15851859,84,6,0,18,4,70.0,71.465,77.586,72.7153
SYN_556,30대,48269043,744,13667637,57,3,0,17,5,85.0,54.826,80.35,74.55279999999999
SYN_557,20대,39510119,682,20550395,51,6,0,19,5,70.0,65.881,65.962,67.5529
SYN_558,20대,50055848,628,22515481,56,4,0,4,2,80.0,48.44200000000001,56.436,63.4634
SYN_561,40대,42522950,714,16465999,51,7,0,7,4,65.0,41.592999999999996,34.92,48.9539
SYN_564,30대,50693536,818,14548727,11,7,0,5,4,65.0,17.366999999999997,84.106,56.44189999999999
SYN_565,20대,51130110,767,17062043,15,4,0,14,3,80.0,36.797,73.982,65.2337
SYN_567,20대,39543576,650,23090971,55,6,0,2,2,70.0,45.823,46.162,55.595499999999994
SYN_569,20대,38917134,763,15879590,75,5,0,8,4,75.0,52.595,66.86,65.8365
SYN_570,30대,46856727,780,16881528,90,7,0,10,3,65.0,64.01599999999999,70.144,66.24799999999999
SYN_571,20대,49097202,679,20059585,49,8,0,19,4,60.0,64.285,69.77600000000001,64.2183
SYN_575,40대,46415524,762,23745968,67,4,0,13,2,80.0,68.825,31.682000000000002,62.152100000000004
SYN_576,30대,43467828,754,14607084,87,6,0,8,4,70.0,55.927,69.62,65.66409999999999
SYN_578,20대,47528361,658,12903115,83,0,0,9,4,100.0,53.205,66.562,75.9301
SYN_580,20대,47246125,778,20503610,42,7,0,14,4,65.0,54.492999999999995,76.422,65.27449999999999
SYN_581,30대,47149195,794,21975374,71,2,0,17,5,90.0,73.63600000000001,83.856,83.2476
SYN_582,20대,52547280,836,25490012,21,0,0,18,1,100.0,58.101,68.974,78.1225
SYN_587,30대,55553751,834,30709837,58,5,0,6,2,75.0,60.934999999999995,77.07,71.4015
SYN_592,50대,53858567,639,18768075,97,7,0,18,5,65.0,81.69099999999999,48.458,65.0447
SYN_593,20대,47836180,674,11009112,87,2,0,4,1,90.0,44.08,50.016000000000005,64.22879999999999
SYN_594,20대,55349199,791,32287370,14,0,0,17,4,100.0,57.928,85.828,83.1268
SYN_597,40대,47020169,791,17585767,60,2,0,0,4,90.0,36.708,47.448,61.2468
SYN_601,20대,44420659,791,19958335,78,4,0,11,5,80.0,65.012,80.276,75.5864
SYN_603,20대,57811656,950,26970416,41,7,0,5,3,65.0,49.394999999999996,86.938,66.8999
SYN_604,20대,50285849,795,21049932,58,8,0,12,2,60.0,59.468,69.84,62.7924
SYN_605,50대,46607436,840,13148098,69,8,0,16,1,60.0,57.774,32.378,51.0456
SYN_622,50대,50423527,826,25315495,55,3,0,8,4,85.0,58.369,54.298,67.8001
SYN_624,20대,52096588,802,27168411,77,7,0,0,2,65.0,57.796,72.26,65.0168
SYN_626,30대,48001966,724,20217959,50,4,0,11,4,80.0,53.32,72.16,69.64399999999999
SYN_628,20대,53021439,810,20965974,90,2,1,0,4,60.0,54.938,85.7,66.1914
SYN_632,30대,45854823,688,11260810,76,4,0,3,4,80.0,37.989999999999995,66.39,63.31399999999999
SYN_633,20대,44014956,731,10281042,22,1,0,6,2,95.0,17.397,55.926,59.9969
SYN_639,20대,42980496,711,14433965,27,5,0,19,5,75.0,45.632999999999996,71.08,65.01389999999999
SYN_642,40대,41805243,756,13559048,96,0,0,4,2,100.0,52.18600000000001,26.234,63.525999999999996
SYN_644,20대,65673875,935,38186900,60,5,0,19,2,75.0,82.023,81.78,79.14089999999999
SYN_645,20대,40067251,600,20572493,45,4,0,4,3,80.0,40.852000000000004,50.75,59.4806
SYN_647,40대,49075734,804,22769654,90,8,0,6,3,60.0,66.731,45.128,57.5577
SYN_649,30대,36356039,620,14799061,43,6,0,16,5,70.0,48.908,61.79,61.209399999999995
SYN_652,30대,60278289,712,16091109,21,5,0,11,3,75.0,33.732,73.952,62.3052
SYN_656,50대,46483359,837,27489452,14,6,0,14,5,70.0,51.199,56.025999999999996,60.16749999999999
SYN_663,30대,45605760,755,15962758,57,9,0,2,4,55.0,35.905,72.16,54.4195
SYN_665,20대,45229184,663,10980299,49,4,1,16,4,50.0,45.604,63.982,52.8758
SYN_668,20대,47601064,692,18922353,22,0,0,13,2,100.0,41.553000000000004,56.900000000000006,69.5359
SYN_669,20대,54989660,804,30222273,35,8,0,14,4,60.0,62.507000000000005,86.72,68.7681
SYN_670,20대,53588042,691,29736883,23,4,0,14,3,80.0,57.065,69.172,69.8711
SYN_672,30대,50880788,767,10399339,20,3,0,14,1,85.0,28.637,61.754,61.1173
SYN_678,20대,42369846,753,23494854,47,5,0,18,2,75.0,67.085,56.43,67.0545
SYN_679,30대,43565274,697,13443968,89,4,0,10,5,80.0,58.184,70.426,70.583
SYN_683,20대,57589161,921,12415586,66,0,0,17,4,100.0,56.852000000000004,92.616,84.8404
SYN_685,20대,60341130,800,32530875,31,1,1,9,2,65.0,54.06099999999999,76.342,65.1209
SYN_687,30대,33010972,600,18009026,25,3,0,8,2,85.0,33.961,42.558,56.9557
SYN_689,20대,54212882,764,23771938,86,7,0,2,2,65.0,60.295,70.29,65.1755
SYN_690,20대,45749571,697,19661953,85,4,0,0,4,80.0,50.674,66.93,67.2812
SYN_692,50대,55089152,818,28935472,91,6,1,10,5,40.0,80.8,63.806,59.3818
SYN_695,30대,43790026,686,22531011,38,1,0,15,2,95.0,56.927,51.862,70.6367
SYN_696,30대,42787836,740,23791842,91,7,0,2,2,65.0,62.587,55.526,61.4339
SYN_697,30대,53254363,790,22425357,11,4,0,8,2,80.0,34.041000000000004,72.206,63.8741
SYN_698,30대,54222155,819,31831595,63,3,0,10,4,85.0,69.708,87.318,81.1078
SYN_702,20대,47510284,653,28432944,11,8,0,16,3,60.0,53.58,60.284000000000006,58.1592
SYN_705,20대,46083476,723,11365007,12,5,0,0,5,75.0,5.07,75.538,54.1824
SYN_707,30대,42600889,712,22996705,65,3,0,8,2,85.0,59.335,52.792,67.6381
SYN_711,20대,37056065,697,14819791,81,7,0,2,2,65.0,44.429,48.025999999999996,53.73649999999999
SYN_719,20대,58646866,891,20821193,20,2,0,9,2,90.0,37.325,80.504,71.3487
SYN_720,20대,51219447,782,22804379,85,9,0,4,4,55.0,61.510000000000005,81.546,64.91680000000001
SYN_721,20대,37621086,649,8366411,41,1,0,10,3,95.0,30.695999999999998,51.236000000000004,62.5796
SYN_722,50대,48457131,823,19508087,13,6,0,4,2,70.0,24.394000000000005,39.74,47.2402
SYN_725,20대,53616205,919,29400779,18,3,0,11,2,85.0,50.03,78.31400000000001,72.5032
SYN_726,20대,44185077,832,12609740,97,3,0,13,4,85.0,64.987,77.03800000000001,76.6075
SYN_728,30대,37311588,628,13826031,65,9,0,11,5,55.0,49.918,62.372,55.687
SYN_730,30대,39880848,711,22963087,25,8,0,18,5,60.0,56.311,68.616,61.4781
SYN_735,30대,50487604,851,18752385,90,1,0,8,3,95.0,63.677,79.718,81.0185
SYN_737,30대,40956512,693,14062297,95,0,0,6,5,100.0,55.642999999999994,67.744,77.0161
SYN_739,30대,41114975,785,15468056,80,6,0,15,2,70.0,64.64500000000001,58.472,64.9351
SYN_740,30대,60662951,811,24737205,19,7,0,6,4,65.0,38.167,89.268,64.2305
SYN_748,20대,50012703,675,22645578,45,2,0,13,2,90.0,57.607,58.606,70.8639
SYN_750,20대,43354902,745,22556563,33,1,0,7,2,95.0,42.735,56.582,67.79509999999999
SYN_753,50대,41362106,600,15752380,73,3,0,17,3,85.0,65.024,21.646,60.001
SYN_756,20대,45487325,668,23971473,65,1,1,2,5,65.0,51.577,70.55799999999999,62.6405
SYN_758,20대,52405429,729,21669029,87,1,0,1,5,95.0,56.047,83.43,79.84309999999999
SYN_761,20대,38406974,650,12881399,87,4,0,4,5,80.0,47.182,63.602000000000004,65.2352
SYN_763,20대,59460533,880,27540949,98,9,0,7,2,55.0,78.049,80.368,69.5251
SYN_765,20대,39010473,635,19001568,31,4,0,18,4,80.0,52.962999999999994,57.269999999999996,65.06989999999999
SYN_770,20대,39020687,714,16514319,61,7,0,8,4,65.0,47.573,62.424,58.9991
SYN_774,20대,51620682,760,11493137,59,8,0,1,2,60.0,28.125,67.71000000000001,52.7505
SYN_775,20대,59703792,865,15997819,56,1,0,14,1,95.0,53.833,73.928,76.3283
SYN_777,20대,54689544,635,17179029,32,0,0,7,2,100.0,34.271,60.854,68.5375
SYN_779,30대,46151373,843,14447698,99,2,0,9,5,90.0,62.638999999999996,85.898,80.5611
SYN_781,30대,50994598,750,23935248,85,5,0,6,2,75.0,66.259,66.19200000000001,69.73530000000001
SYN_782,30대,41500993,671,8604793,92,4,0,18,1,80.0,64.875,42.644,64.25569999999999
SYN_784,50대,53216793,786,26729342,28,7,0,0,2,65.0,35.888000000000005,41.726,49.284200000000006
SYN_785,30대,40897552,765,12520253,61,7,0,1,5,65.0,30.725,74.314,57.5117
SYN_787,30대,38736151,701,12550851,43,1,0,2,3,95.0,24.275,55.01,61.7855
SYN_790,20대,43870625,755,18038018,38,8,0,13,4,60.0,47.393,70.132,59.2575
SYN_791,40대,46344820,719,13271777,70,3,0,14,1,85.0,55.474999999999994,21.514000000000003,57.0967
SYN_793,50대,44744593,759,24779042,94,0,0,13,3,100.0,82.327,35.464,75.3373
SYN_803,20대,53395271,802,12502369,44,1,0,7,4,95.0,32.293,85.404,73.3091
